subjno	age	gender	isPractice	viewdist	CmToPixX	CmToPixY	SOA_frm	SOA_time	targNum	targID	targExample	targRace	targGender	firstTargPos	contrast	familiarity	curr_staircase	iStair	TrialNum	BlockNum	blktrl	sessionNum	TC_FIXATION	TC_RSVP_START	TC_RSVP_END	TC_BLANK	TC_RESPONSE_ONSET	RT2afc	resp_2afc	acc	RSVPOnsetVBL	RSVPOnsetTime	RSVPOffsetVBL	RSVPOffsetTime	startrt_2afc
1	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	4	1	NaN	1	5	0.1	0	1	1	1	1	1	1	110	210	310	NaN	510	0.0108759264694527	1	1	NaN	89940.6987951	NaN	89941.6822246	89942.2153941735
1	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	12	1	NaN	2	5	0.0158489319246111	0	1	2	2	1	2	1	110	210	310	NaN	510	0.421353321231436	2	1	NaN	89943.1657449	NaN	89944.1491062	89944.6822957788
1	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	11	1	NaN	2	3	0.0630957344480193	0	1	3	3	1	3	1	110	210	310	NaN	510	0.363838436926017	2	1	NaN	89946.0160183	NaN	89946.9994113	89947.5159187631
1	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	12	1	NaN	2	5	0.398107170553497	0	1	4	4	1	4	1	110	210	310	NaN	510	0.492238326463848	2	1	NaN	89948.7995895	NaN	89949.7830328	89950.2995278735
1	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	1	1	NaN	1	5	0.630957344480193	0	1	5	5	1	5	1	110	210	310	NaN	510	0.031362331690616	1	1	NaN	89951.7164727	NaN	89952.6999159	89953.2164778683
1	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	12	1	NaN	2	4	0.251188643150958	0	1	6	6	1	6	1	110	210	310	NaN	510	0.0103547316830372	2	1	NaN	89954.1835236	NaN	89955.166955	89955.6833848683
1	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	1	1	NaN	1	4	0.0398107170553497	0	1	7	7	1	7	1	110	210	310	NaN	510	0.187627031686134	1	1	NaN	89956.6002532	NaN	89957.5837357	89958.1002902683
1	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	4	1	NaN	1	3	0.0251188643150958	0	1	8	8	1	8	1	110	210	310	NaN	510	0.322533921222202	1	1	NaN	89959.2172642	NaN	89960.2006634	89960.7172161788
1	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	8	1	NaN	2	5	0.0398107170553497	0	1	9	9	1	9	1	110	210	310	NaN	510	0.276807579080923	1	0	NaN	89961.9508718	NaN	89962.9342465	89963.4508098209
1	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	3	1	NaN	1	5	0.398107170553497	0	1	10	10	1	10	1	110	210	310	NaN	510	0.288623321233899	1	1	NaN	89964.6511508	NaN	89965.6345575	89966.1510855788
1	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	10	1	NaN	2	3	0.0630957344480193	0	1	11	11	1	11	1	110	210	310	NaN	510	0.428333968608058	2	1	NaN	89967.3513942	NaN	89968.3347892	89968.8513465314
