subjno	age	gender	isPractice	viewdist	CmToPixX	CmToPixY	SOA_frm	SOA_time	targNum	targID	targExample	targRace	targGender	firstTargPos	contrast	familiarity	curr_staircase	iStair	TrialNum	BlockNum	blktrl	sessionNum	TC_FIXATION	TC_RSVP_START	TC_RSVP_END	TC_BLANK	TC_RESPONSE_ONSET	RT2afc	resp_2afc	acc	RSVPOnsetVBL	RSVPOnsetTime	RSVPOffsetVBL	RSVPOffsetTime	startrt_2afc
56	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	9	1	NaN	2	3	0.0398107170553497	1	1	1	1	1	1	1	111	211	311	NaN	511	1.97298269206658	2	1	NaN	2680025.133922	NaN	2680026.1172775	2680026.65047401
56	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	7	1	NaN	2	4	0.158489319246111	1	1	2	2	1	2	1	111	211	311	NaN	511	0.85438918042928	2	1	NaN	2680029.7009746	NaN	2680030.684423	2680031.21759262
56	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	5	1	NaN	1	3	0.1	1	1	3	3	1	3	1	111	211	311	NaN	511	0.725916476920247	1	1	NaN	2680033.1180002	NaN	2680034.1013171	2680034.61791642
56	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	11	1	NaN	2	3	0.251188643150958	1	1	4	4	1	4	1	111	211	311	NaN	511	0.779040940105915	2	1	NaN	2680036.3849646	NaN	2680037.3684064	2680037.88491906
56	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	9	1	NaN	2	3	0.0630957344480193	1	1	5	5	1	5	1	111	211	311	NaN	511	0.554471996147186	2	1	NaN	2680039.5853477	NaN	2680040.5687973	2680041.0852341
56	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	1	1	NaN	1	5	0.630957344480193	1	1	6	6	1	6	1	111	211	311	NaN	511	0.0952557250857353	1	1	NaN	2680042.6523519	NaN	2680043.6357791	2680044.15219817
56	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	8	1	NaN	2	4	0.0158489319246111	1	1	7	7	1	7	1	111	211	311	NaN	511	0.467896976973861	1	0	NaN	2680045.3358895	NaN	2680046.31925	2680046.83578302
56	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	1	1	NaN	1	5	0.398107170553497	1	1	8	8	1	8	1	111	211	311	NaN	511	0.408229376655072	1	1	NaN	2680048.2194534	NaN	2680049.202851	2680049.71940332
56	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	8	1	NaN	2	3	0.158489319246111	1	1	9	9	1	9	1	111	211	311	NaN	511	0.429294492583722	2	1	NaN	2680051.086374	NaN	2680052.0698347	2680052.58635891
56	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	6	1	NaN	1	3	0.398107170553497	1	1	10	10	1	10	1	111	211	311	NaN	511	0.393369976896793	1	1	NaN	2680053.9699893	NaN	2680054.9534447	2680055.46997712
56	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	5	1	NaN	1	3	0.1	1	1	11	11	1	11	1	111	211	311	NaN	511	0.694933732505888	1	1	NaN	2680056.8369514	NaN	2680057.8203761	2680058.33691527
56	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	8	1	NaN	2	3	0.0630957344480193	1	1	12	12	1	12	1	111	211	311	NaN	511	0.511907272972167	2	1	NaN	2680060.0039666	NaN	2680060.9873893	2680061.50389083
56	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	4	1	NaN	1	4	0.0251188643150958	1	1	13	13	1	13	1	111	211	311	NaN	511	0.720634244382381	2	0	NaN	2680062.9709028	NaN	2680063.9543138	2680064.47086576
