subjno	age	gender	isPractice	viewdist	CmToPixX	CmToPixY	SOA_frm	SOA_time	targNum	targID	targExample	targRace	targGender	firstTargPos	contrast	familiarity	curr_staircase	iStair	TrialNum	BlockNum	blktrl	sessionNum	TC_FIXATION	TC_RSVP_START	TC_RSVP_END	TC_BLANK	TC_RESPONSE_ONSET	RT2afc	resp_2afc	acc	RSVPOnsetVBL	RSVPOnsetTime	RSVPOffsetVBL	RSVPOffsetTime	startrt_2afc
13	21	0	0	90	36.1581920903955	36.241610738255	15	0.500052959751338	2	3	5	NaN	1	5	0.0528131511792984	1	1	NaN	1	1	1	2	121	221	321	NaN	521	0.9549141805619	1	1	NaN	2498532.2596132	NaN	2498533.242881	2498533.77598442
13	21	0	0	90	36.1581920903955	36.241610738255	13	0.433379231784493	2	7	4	NaN	2	3	0.0528131511792984	1	1	NaN	2	1	2	2	121	221	321	NaN	521	0.213169232476503	2	1	NaN	2498535.5932199	NaN	2498536.5765087	2498537.10964687
13	21	0	0	90	36.1581920903955	36.241610738255	21	0.700074143651873	2	11	5	NaN	2	4	0.0528131511792984	1	1	NaN	3	1	3	2	121	221	321	NaN	521	0.247452432755381	2	1	NaN	2498538.1432673	NaN	2498539.1267143	2498539.64322237
13	21	0	0	90	36.1581920903955	36.241610738255	13	0.433379231784493	2	11	2	NaN	2	3	0.0528131511792984	1	1	NaN	4	1	4	2	121	221	321	NaN	521	0.326352380216122	2	1	NaN	2498541.1768457	NaN	2498542.1602866	2498542.67685712
13	21	0	0	90	36.1581920903955	36.241610738255	9	0.300031775850803	2	10	5	NaN	2	4	0.0528131511792984	1	1	NaN	5	1	5	2	121	221	321	NaN	521	0.155543924309313	2	1	NaN	2498543.8270519	NaN	2498544.810567	2498545.32711468
13	21	0	0	90	36.1581920903955	36.241610738255	13	0.433379231784493	2	10	2	NaN	2	3	0.0528131511792984	1	1	NaN	6	1	6	2	121	221	321	NaN	521	0.200487828347832	2	1	NaN	2498546.3107292	NaN	2498547.2941199	2498547.81068727
13	21	0	0	90	36.1581920903955	36.241610738255	6	0.200021183900535	2	9	3	NaN	2	5	0.0528131511792984	1	1	NaN	7	1	7	2	121	221	321	NaN	521	0.195050576236099	2	1	NaN	2498548.8276402	NaN	2498549.8110583	2498550.32759672
13	21	0	0	90	36.1581920903955	36.241610738255	13	0.433379231784493	2	9	3	NaN	2	5	0.0528131511792984	1	1	NaN	8	1	8	2	121	221	321	NaN	521	0.151914076879621	2	1	NaN	2498551.5113083	NaN	2498552.4946497	2498553.01119442
13	21	0	0	90	36.1581920903955	36.241610738255	18	0.600063551701605	2	2	1	NaN	1	4	0.0528131511792984	1	1	NaN	9	1	9	2	121	221	321	NaN	521	0.212670824024826	1	1	NaN	2498553.9781185	NaN	2498554.9615985	2498555.47810408
13	21	0	0	90	36.1581920903955	36.241610738255	15	0.500052959751338	2	5	4	NaN	1	4	0.0528131511792984	1	1	NaN	10	1	10	2	121	221	321	NaN	521	0.245528628118336	1	1	NaN	2498556.761745	NaN	2498557.7451589	2498558.26171487
13	21	0	0	90	36.1581920903955	36.241610738255	17	0.566726687718183	2	1	5	NaN	1	4	0.0528131511792984	1	1	NaN	11	1	11	2	121	221	321	NaN	521	0.200494780670851	1	1	NaN	2498559.478606	NaN	2498560.4620996	2498560.97865592
13	21	0	0	90	36.1581920903955	36.241610738255	25	0.833421599585563	2	1	2	NaN	1	3	0.0528131511792984	1	1	NaN	12	1	12	2	121	221	321	NaN	521	0.355257580522448	1	1	NaN	2498561.9956276	NaN	2498562.9790135	2498563.49557052
13	21	0	0	90	36.1581920903955	36.241610738255	16	0.53338982373476	2	9	6	NaN	2	5	0.0528131511792984	1	1	NaN	13	1	13	2	121	221	321	NaN	521	0.192107076290995	2	1	NaN	2498564.8625388	NaN	2498565.8459584	2498566.36251672
13	21	0	0	90	36.1581920903955	36.241610738255	25	0.833421599585563	2	10	5	NaN	2	4	0.0528131511792984	1	1	NaN	14	1	14	2	121	221	321	NaN	521	0.34485022816807	2	1	NaN	2498567.4461596	NaN	2498568.4295551	2498568.94609437
13	21	0	0	90	36.1581920903955	36.241610738255	8	0.26669491186738	2	5	4	NaN	1	5	0.0528131511792984	1	1	NaN	15	1	15	2	121	221	321	NaN	521	0.231187276542187	1	1	NaN	2498570.279738	NaN	2498571.263053	2498571.77970442
13	21	0	0	90	36.1581920903955	36.241610738255	16	0.53338982373476	2	10	4	NaN	2	5	0.0528131511792984	1	1	NaN	16	1	16	2	121	221	321	NaN	521	0.250581528060138	2	1	NaN	2498572.9966779	NaN	2498573.9800933	2498574.49664747
13	21	0	0	90	36.1581920903955	36.241610738255	0	0	1	8	1	NaN	2	5	0.0528131511792984	1	1	NaN	17	1	17	2	111	211	311	NaN	511	0.123670228291303	2	1	NaN	2498575.5634693	NaN	2498576.5470366	2498577.06356717
13	21	0	0	90	36.1581920903955	36.241610738255	20	0.66673727966845	2	5	1	NaN	1	3	0.0528131511792984	1	1	NaN	18	1	18	2	121	221	321	NaN	521	0.153744687791914	1	1	NaN	2498577.9971856	NaN	2498578.9805627	2498579.49713121
13	21	0	0	90	36.1581920903955	36.241610738255	22	0.733411007635295	2	5	1	NaN	1	5	0.0528131511792984	1	1	NaN	19	1	19	2	121	221	321	NaN	521	0.103556888177991	1	1	NaN	2498580.6474552	NaN	2498581.6308611	2498582.14739531
13	21	0	0	90	36.1581920903955	36.241610738255	6	0.200021183900535	2	3	4	NaN	1	3	0.0528131511792984	1	1	NaN	20	1	20	2	121	221	321	NaN	521	0.185217176564038	1	1	NaN	2498583.1976765	NaN	2498584.1810952	2498584.69764352
13	21	0	0	90	36.1581920903955	36.241610738255	9	0.300031775850803	2	9	1	NaN	2	5	0.0528131511792984	1	1	NaN	21	1	21	2	121	221	321	NaN	521	0.693252176512033	2	1	NaN	2498585.6979295	NaN	2498586.6812647	2498587.19788662
13	21	0	0	90	36.1581920903955	36.241610738255	20	0.66673727966845	2	4	5	NaN	1	3	0.0528131511792984	1	1	NaN	22	1	22	2	121	221	321	NaN	521	0.384419576264918	1	1	NaN	2498590.7984201	NaN	2498591.7818409	2498592.29839422
13	21	0	0	90	36.1581920903955	36.241610738255	13	0.433379231784493	2	6	1	NaN	1	5	0.0528131511792984	1	1	NaN	23	1	23	2	121	221	321	NaN	521	0.636261876672506	1	1	NaN	2498593.4987081	NaN	2498594.4821024	2498594.99865052
13	21	0	0	90	36.1581920903955	36.241610738255	14	0.466716095767915	2	9	4	NaN	2	5	0.0528131511792984	1	1	NaN	24	1	24	2	121	221	321	NaN	521	0.198476528283209	2	1	NaN	2498598.2324773	NaN	2498599.2159038	2498599.73245647
13	21	0	0	90	36.1581920903955	36.241610738255	9	0.300031775850803	2	6	2	NaN	1	3	0.0528131511792984	1	1	NaN	25	1	25	2	121	221	321	NaN	521	0.235061628278345	1	1	NaN	2498600.9160782	NaN	2498601.8994984	2498602.41605357
13	21	0	0	90	36.1581920903955	36.241610738255	12	0.40004236780107	2	12	5	NaN	2	4	0.0528131511792984	1	1	NaN	26	1	26	2	121	221	321	NaN	521	0.513835176825523	2	1	NaN	2498603.7329166	NaN	2498604.7164457	2498605.23300042
13	21	0	0	90	36.1581920903955	36.241610738255	18	0.600063551701605	2	12	2	NaN	2	3	0.0528131511792984	1	1	NaN	27	1	27	2	121	221	321	NaN	521	0.135489628184587	2	1	NaN	2498606.7833441	NaN	2498607.766751	2498608.28329867
13	21	0	0	90	36.1581920903955	36.241610738255	25	0.833421599585563	2	12	6	NaN	2	5	0.0528131511792984	1	1	NaN	28	1	28	2	121	221	321	NaN	521	0.262939224019647	2	1	NaN	2498610.0003401	NaN	2498610.983727	2498611.50027738
13	21	0	0	90	36.1581920903955	36.241610738255	20	0.66673727966845	2	12	3	NaN	2	5	0.0528131511792984	1	1	NaN	29	1	29	2	121	221	321	NaN	521	0.167087176349014	2	1	NaN	2498612.5839236	NaN	2498613.5673204	2498614.08386902
13	21	0	0	90	36.1581920903955	36.241610738255	19	0.633400415685028	2	3	1	NaN	1	5	0.0528131511792984	1	1	NaN	30	1	30	2	121	221	321	NaN	521	0.163709128275514	1	1	NaN	2498615.0674968	NaN	2498616.0508934	2498616.56743677
13	21	0	0	90	36.1581920903955	36.241610738255	25	0.833421599585563	2	9	2	NaN	2	4	0.0528131511792984	1	1	NaN	31	1	31	2	121	221	321	NaN	521	0.211463028565049	2	1	NaN	2498618.0677622	NaN	2498619.0511854	2498619.56773817
13	21	0	0	90	36.1581920903955	36.241610738255	24	0.80008473560214	2	4	6	NaN	1	4	0.0528131511792984	1	1	NaN	32	1	32	2	121	221	321	NaN	521	0.202659428585321	1	1	NaN	2498621.0847307	NaN	2498622.068151	2498622.58470277
13	21	0	0	90	36.1581920903955	36.241610738255	17	0.566726687718183	2	12	6	NaN	2	5	0.0528131511792984	1	1	NaN	33	1	33	2	121	221	321	NaN	521	0.218469976447523	2	1	NaN	2498623.8683665	NaN	2498624.851796	2498625.36830282
