subjno	age	gender	isPractice	viewdist	CmToPixX	CmToPixY	SOA_frm	SOA_time	targNum	targID	targExample	targRace	targGender	firstTargPos	contrast	familiarity	curr_staircase	iStair	TrialNum	BlockNum	blktrl	sessionNum	TC_FIXATION	TC_RSVP_START	TC_RSVP_END	TC_BLANK	TC_RESPONSE_ONSET	RT2afc	resp_2afc	acc	RSVPOnsetVBL	RSVPOnsetTime	RSVPOffsetVBL	RSVPOffsetTime	startrt_2afc
73	21	0	0	90	36.1581920903955	36.241610738255	21	0.700046088024974	2	2	3	NaN	1	3	0.0224140145070856	1	1	NaN	1	1	1	2	121	221	321	NaN	521	2.68306447379291	1	1	NaN	4566028.9099157	NaN	4566029.8931171	4566030.42622013
73	21	0	0	90	36.1581920903955	36.241610738255	24	0.800052672028542	2	4	4	NaN	1	5	0.0224140145070856	1	1	NaN	2	1	2	2	121	221	321	NaN	521	0.621670278720558	1	1	NaN	4566034.6436866	NaN	4566035.6269823	4566036.14343792
73	21	0	0	90	36.1581920903955	36.241610738255	10	0.333355280011892	2	3	5	NaN	1	5	0.0224140145070856	1	1	NaN	3	1	3	2	121	221	321	NaN	521	1.16745547391474	1	1	NaN	4566039.9773418	NaN	4566040.9607648	4566041.49397083
73	21	0	0	90	36.1581920903955	36.241610738255	0	0	1	10	5	NaN	2	5	0.0224140145070856	1	1	NaN	4	1	4	2	111	211	311	NaN	511	0.706939374096692	2	1	NaN	4566043.4942619	NaN	4566044.4777715	4566044.99431693
73	21	0	0	90	36.1581920903955	36.241610738255	9	0.300019752010703	2	10	2	NaN	2	3	0.0224140145070856	1	1	NaN	5	1	5	2	121	221	321	NaN	521	2.2762758275494	1	0	NaN	4566101.1333421	NaN	4566102.1167751	4566102.63330157
73	21	0	0	90	36.1581920903955	36.241610738255	15	0.500032920017839	2	8	1	NaN	2	5	0.0224140145070856	1	1	NaN	6	1	6	2	121	221	321	NaN	521	4.93106622155756	2	1	NaN	4566105.7504901	NaN	4566106.7338957	4566107.25042978
73	21	0	0	90	36.1581920903955	36.241610738255	16	0.533368448019028	2	7	3	NaN	2	5	0.0224140145070856	1	1	NaN	7	1	7	2	121	221	321	NaN	521	0.897925668396056	1	0	NaN	4566113.5512853	NaN	4566114.5347041	4566115.05119523
73	21	0	0	90	36.1581920903955	36.241610738255	15	0.500032920017839	2	4	4	NaN	1	5	0.0224140145070856	1	1	NaN	8	1	8	2	121	221	321	NaN	521	1.59216991625726	1	1	NaN	4566116.7847381	NaN	4566117.7683797	4566118.28484068
73	21	0	0	90	36.1581920903955	36.241610738255	20	0.666710560023785	2	10	4	NaN	2	4	0.0224140145070856	1	1	NaN	9	1	9	2	121	221	321	NaN	521	1.60330091696233	1	0	NaN	4566120.7018267	NaN	4566121.6853543	4566122.20188948
73	21	0	0	90	36.1581920903955	36.241610738255	10	0.333355280011892	2	9	2	NaN	2	4	0.0224140145070856	1	1	NaN	10	1	10	2	121	221	321	NaN	521	1.88548846915364	2	1	NaN	4566124.6356739	NaN	4566125.6191117	4566126.13561003
