subjno	age	gender	isPractice	viewdist	CmToPixX	CmToPixY	SOA_frm	SOA_time	targNum	targID	targExample	targRace	targGender	firstTargPos	contrast	familiarity	curr_staircase	iStair	TrialNum	BlockNum	blktrl	sessionNum	TC_FIXATION	TC_RSVP_START	TC_RSVP_END	TC_BLANK	TC_RESPONSE_ONSET	RT2afc	resp_2afc	acc	RSVPOnsetVBL	RSVPOnsetTime	RSVPOffsetVBL	RSVPOffsetTime	startrt_2afc
21	19	0	0	90	36.1581920903955	36.241610738255	21	0.700059191733599	2	3	1	NaN	1	5	0.229749065224915	0	1	NaN	1	1	1	1	120	220	320	NaN	520	0.129288877360523	1	1	NaN	4385675.3712912	NaN	4385676.3545674	4385676.88770382
21	19	0	0	90	36.1581920903955	36.241610738255	19	0.63338688775897	2	11	5	NaN	2	5	0.229749065224915	0	1	NaN	2	1	2	1	120	220	320	NaN	520	6.52471362985671	2	1	NaN	4385677.871612	NaN	4385678.8548146	4385679.38794987
21	19	0	0	90	36.1581920903955	36.241610738255	24	0.800067647695541	2	2	5	NaN	1	3	0.229749065224915	0	1	NaN	3	1	3	1	120	220	320	NaN	520	0.705833072774112	1	1	NaN	4385686.7388646	NaN	4385687.7222562	4385688.23880773
21	19	0	0	90	36.1581920903955	36.241610738255	12	0.400033823847771	2	12	1	NaN	2	4	0.229749065224915	0	1	NaN	4	1	4	1	120	220	320	NaN	520	0.567255534231663	1	0	NaN	4385690.0058899	NaN	4385690.9892468	4385691.50580617
21	19	0	0	90	36.1581920903955	36.241610738255	22	0.733395343720913	2	1	6	NaN	1	4	0.229749065224915	0	1	NaN	5	1	5	1	120	220	320	NaN	520	0.739341763779521	1	1	NaN	4385692.8894754	NaN	4385693.8728724	4385694.38941694
21	19	0	0	90	36.1581920903955	36.241610738255	17	0.566714583784342	2	8	3	NaN	2	3	0.229749065224915	0	1	NaN	6	1	6	1	120	220	320	NaN	520	0.58440887182951	2	1	NaN	4385695.9564546	NaN	4385696.9399318	4385697.45637933
21	19	0	0	90	36.1581920903955	36.241610738255	8	0.266689215898514	2	7	6	NaN	2	5	0.229749065224915	0	1	NaN	7	1	7	1	120	220	320	NaN	520	0.771201720461249	2	1	NaN	4385698.8733822	NaN	4385699.856789	4385700.37333998
21	19	0	0	90	36.1581920903955	36.241610738255	18	0.600050735771656	2	2	3	NaN	1	5	0.229749065224915	0	1	NaN	8	1	8	1	120	220	320	NaN	520	0.703853772953153	1	1	NaN	4385701.9569047	NaN	4385702.9404122	4385703.45697623
21	19	0	0	90	36.1581920903955	36.241610738255	15	0.500042279809713	2	6	2	NaN	1	3	0.229749065224915	0	1	NaN	9	1	9	1	120	220	320	NaN	520	0.455185143277049	2	0	NaN	4385704.9739838	NaN	4385705.9573989	4385706.47395216
21	19	0	0	90	36.1581920903955	36.241610738255	10	0.333361519873142	2	2	4	NaN	1	4	0.229749065224915	0	1	NaN	10	1	10	1	120	220	320	NaN	520	1.51967847254127	1	1	NaN	4385707.7409361	NaN	4385708.7242551	4385709.24089413
