subjno	age	gender	isPractice	viewdist	CmToPixX	CmToPixY	SOA_frm	SOA_time	targNum	targID	targExample	targRace	targGender	firstTargPos	contrast	familiarity	curr_staircase	iStair	TrialNum	BlockNum	blktrl	sessionNum	TC_FIXATION	TC_RSVP_START	TC_RSVP_END	TC_BLANK	TC_RESPONSE_ONSET	RT2afc	resp_2afc	acc	RSVPOnsetVBL	RSVPOnsetTime	RSVPOffsetVBL	RSVPOffsetTime	startrt_2afc
50	22	0	0	90	36.1581920903955	36.241610738255	18	0.600043535716832	2	9	3	NaN	2	3	0.583423467416068	0	1	NaN	1	1	1	2	120	220	320	NaN	520	2.77117422781885	2	1	NaN	2162764.8165049	NaN	2162765.7998392	2162766.33295227
50	22	0	0	90	36.1581920903955	36.241610738255	15	0.500036279764026	2	12	4	NaN	2	5	0.583423467416068	0	1	NaN	2	1	2	2	120	220	320	NaN	520	0.42717252811417	2	1	NaN	2162770.0003575	NaN	2162770.9836751	2162771.51680207
50	22	0	0	90	36.1581920903955	36.241610738255	23	0.766722295638174	2	8	5	NaN	2	3	0.583423467416068	0	1	NaN	3	1	3	2	120	220	320	NaN	520	0.244550685398281	2	1	NaN	2162772.9837764	NaN	2162773.9671962	2162774.48375061
50	22	0	0	90	36.1581920903955	36.241610738255	16	0.533372031748295	2	1	3	NaN	1	5	0.583423467416068	0	1	NaN	4	1	4	2	120	220	320	NaN	520	0.0694099380634725	1	1	NaN	2162775.5507168	NaN	2162776.5341237	2162777.05066986
50	22	0	0	90	36.1581920903955	36.241610738255	13	0.43336477579549	2	8	2	NaN	2	4	0.583423467416068	0	1	NaN	5	1	5	2	120	220	320	NaN	520	0.317768070381135	2	1	NaN	2162777.9342435	NaN	2162778.917694	2162779.43423773
50	22	0	0	90	36.1581920903955	36.241610738255	7	0.233350263889879	2	1	1	NaN	1	4	0.583423467416068	0	1	NaN	6	1	6	2	120	220	320	NaN	520	0.227507070172578	2	0	NaN	2162780.5845423	NaN	2162781.5679505	2162782.08449213
50	22	0	0	90	36.1581920903955	36.241610738255	11	0.366693271826953	2	5	2	NaN	1	3	0.583423467416068	0	1	NaN	7	1	7	2	120	220	320	NaN	520	0.405474822502583	2	0	NaN	2162783.1347971	NaN	2162784.1182062	2162784.63475568
50	22	0	0	90	36.1581920903955	36.241610738255	8	0.266686015874147	2	4	3	NaN	1	5	0.583423467416068	0	1	NaN	8	1	8	2	120	220	320	NaN	520	0.304223370272666	2	0	NaN	2162785.8516555	NaN	2162786.8351117	2162787.35167713
50	22	0	0	90	36.1581920903955	36.241610738255	17	0.566707783732563	2	11	3	NaN	2	4	0.583423467416068	0	1	NaN	9	1	9	2	120	220	320	NaN	520	0.455243822187185	1	0	NaN	2162788.4685352	NaN	2162789.4520668	2162789.96860648
50	22	0	0	90	36.1581920903955	36.241610738255	6	0.200014511905611	2	4	6	NaN	1	4	0.583423467416068	0	1	NaN	10	1	10	2	120	220	320	NaN	520	0.160533770453185	1	1	NaN	2162791.2356473	NaN	2162792.218998	2162792.73554353
50	22	0	0	90	36.1581920903955	36.241610738255	16	0.533372031748295	2	9	6	NaN	2	3	0.583423467416068	0	1	NaN	11	1	11	2	120	220	320	NaN	520	0.245084822643548	2	1	NaN	2162793.719268	NaN	2162794.7025797	2162795.21912518
50	22	0	0	90	36.1581920903955	36.241610738255	8	0.266686015874147	2	7	3	NaN	2	5	0.583423467416068	0	1	NaN	12	1	12	2	120	220	320	NaN	520	0.374233022797853	2	1	NaN	2162796.286082	NaN	2162797.269488	2162797.78604108
50	22	0	0	90	36.1581920903955	36.241610738255	0	0	1	2	6	NaN	1	4	0.583423467416068	0	1	NaN	13	1	13	2	110	210	310	NaN	510	0.43377887038514	2	0	NaN	2162798.9863794	NaN	2162799.9697517	2162800.48631373
50	22	0	0	90	36.1581920903955	36.241610738255	0	0	1	11	1	NaN	2	3	0.583423467416068	0	1	NaN	14	1	14	2	110	210	310	NaN	510	0.243647770024836	2	1	NaN	2162801.7366343	NaN	2162802.7199993	2162803.23660403
50	22	0	0	90	36.1581920903955	36.241610738255	7	0.233350263889879	2	9	2	NaN	2	5	0.583423467416068	0	1	NaN	15	1	15	2	120	220	320	NaN	520	0.236765375360847	2	1	NaN	2162804.3035364	NaN	2162805.2869454	2162805.80349372
50	22	0	0	90	36.1581920903955	36.241610738255	24	0.800058047622442	2	9	1	NaN	2	5	0.583423467416068	0	1	NaN	16	1	16	2	120	220	320	NaN	520	0.390583322849125	2	1	NaN	2162806.8537903	NaN	2162807.8371963	2162808.35375658
50	22	0	0	90	36.1581920903955	36.241610738255	17	0.566707783732563	2	10	2	NaN	2	4	0.583423467416068	0	1	NaN	17	1	17	2	120	220	320	NaN	520	0.281719070393592	2	1	NaN	2162809.5707392	NaN	2162810.5541001	2162811.07067883
50	22	0	0	90	36.1581920903955	36.241610738255	17	0.566707783732563	2	7	2	NaN	2	3	0.583423467416068	0	1	NaN	18	1	18	2	120	220	320	NaN	520	1.11310398532078	2	1	NaN	2162812.1709751	NaN	2162813.1543774	2162813.67093621
50	22	0	0	90	36.1581920903955	36.241610738255	12	0.400029023811221	2	11	3	NaN	2	5	0.583423467416068	0	1	NaN	19	1	19	2	120	220	320	NaN	520	0.58351227035746	2	1	NaN	2162815.6046492	NaN	2162816.5880644	2162817.10460363
50	22	0	0	90	36.1581920903955	36.241610738255	23	0.766722295638174	2	3	4	NaN	1	4	0.583423467416068	0	1	NaN	20	1	20	2	120	220	320	NaN	520	0.0593206277117133	1	1	NaN	2162818.5049466	NaN	2162819.4883566	2162820.00490197
50	22	0	0	90	36.1581920903955	36.241610738255	11	0.366693271826953	2	2	1	NaN	1	5	0.583423467416068	0	1	NaN	21	1	21	2	120	220	320	NaN	520	0.787586422637105	1	1	NaN	2162820.8885141	NaN	2162821.8719156	2162822.38846458
50	22	0	0	90	36.1581920903955	36.241610738255	8	0.266686015874147	2	5	5	NaN	1	4	0.583423467416068	0	1	NaN	22	1	22	2	120	220	320	NaN	520	0.759268922265619	1	1	NaN	2162823.9888376	NaN	2162824.9722182	2162825.48877418
50	22	0	0	90	36.1581920903955	36.241610738255	22	0.733386543653905	2	9	3	NaN	2	3	0.583423467416068	0	1	NaN	23	1	23	2	120	220	320	NaN	520	0.475563189946115	2	1	NaN	2162827.0724407	NaN	2162828.0558611	2162828.57240971
50	22	0	0	90	36.1581920903955	36.241610738255	22	0.733386543653905	2	12	5	NaN	2	4	0.583423467416068	0	1	NaN	24	1	24	2	120	220	320	NaN	520	0.563745270483196	2	1	NaN	2162829.8727173	NaN	2162830.8560944	2162831.37267233
50	22	0	0	90	36.1581920903955	36.241610738255	13	0.43336477579549	2	7	3	NaN	2	3	0.583423467416068	0	1	NaN	25	1	25	2	120	220	320	NaN	520	2.33595452271402	2	1	NaN	2162832.7563793	NaN	2162833.7397572	2162834.25630168
50	22	0	0	90	36.1581920903955	36.241610738255	23	0.766722295638174	2	4	1	NaN	1	3	0.583423467416068	0	1	NaN	26	1	26	2	120	220	320	NaN	520	0.29325437033549	1	1	NaN	2162837.4067922	NaN	2162838.3902266	2162838.90674823
50	22	0	0	90	36.1581920903955	36.241610738255	20	0.666715039685368	2	7	5	NaN	2	5	0.583423467416068	0	1	NaN	27	1	27	2	120	220	320	NaN	520	0.268491822760552	2	1	NaN	2162840.0238191	NaN	2162841.0071364	2162841.52368368
50	22	0	0	90	36.1581920903955	36.241610738255	10	0.333357519842684	2	2	2	NaN	1	4	0.583423467416068	0	1	NaN	28	1	28	2	120	220	320	NaN	520	0.0104177226312459	1	1	NaN	2162842.6073152	NaN	2162843.5907091	2162844.10726178
50	22	0	0	90	36.1581920903955	36.241610738255	15	0.500036279764026	2	5	3	NaN	1	5	0.583423467416068	0	1	NaN	29	1	29	2	120	220	320	NaN	520	0.0713781230151653	2	0	NaN	2162844.9408817	NaN	2162845.9242518	2162846.44083538
50	22	0	0	90	36.1581920903955	36.241610738255	11	0.366693271826953	2	8	5	NaN	2	3	0.583423467416068	0	1	NaN	30	1	30	2	120	220	320	NaN	520	0.15126382233575	1	0	NaN	2162847.3411155	NaN	2162848.3244141	2162848.84107068
50	22	0	0	90	36.1581920903955	36.241610738255	7	0.233350263889879	2	6	6	NaN	1	5	0.583423467416068	0	1	NaN	31	1	31	2	120	220	320	NaN	520	0.0104012223891914	1	1	NaN	2162849.8080148	NaN	2162850.7914529	2162851.30797898
50	22	0	0	90	36.1581920903955	36.241610738255	24	0.800058047622442	2	12	6	NaN	2	5	0.583423467416068	0	1	NaN	32	1	32	2	120	220	320	NaN	520	0.0103948754258454	2	1	NaN	2162852.1415964	NaN	2162853.1249773	2162853.64154022
50	22	0	0	90	36.1581920903955	36.241610738255	13	0.43336477579549	2	12	3	NaN	2	4	0.583423467416068	0	1	NaN	33	1	33	2	120	220	320	NaN	520	0.15282262256369	2	1	NaN	2162854.4751526	NaN	2162855.4585585	2162855.97510238
50	22	0	0	90	36.1581920903955	36.241610738255	18	0.600043535716832	2	11	1	NaN	2	4	0.583423467416068	0	1	NaN	34	1	34	2	120	220	320	NaN	520	0.0104076704010367	2	1	NaN	2162856.9420619	NaN	2162857.9254597	2162858.44201513
50	22	0	0	90	36.1581920903955	36.241610738255	16	0.533372031748295	2	7	4	NaN	2	5	0.583423467416068	0	1	NaN	35	1	35	2	120	220	320	NaN	520	0.0104061225429177	2	1	NaN	2162859.2589664	NaN	2162860.2423609	2162860.75890488
50	22	0	0	90	36.1581920903955	36.241610738255	21	0.700050791669637	2	2	5	NaN	1	5	0.583423467416068	0	1	NaN	36	1	36	2	120	220	320	NaN	520	0.204445390030742	2	0	NaN	2162861.575852	NaN	2162862.5592409	2162863.07580921
50	22	0	0	90	36.1581920903955	36.241610738255	9	0.300021767858416	2	8	6	NaN	2	4	0.583423467416068	0	1	NaN	37	1	37	2	120	220	320	NaN	520	0.151590722613037	2	1	NaN	2162864.092785	NaN	2162865.0761688	2162865.59271178
50	22	0	0	90	36.1581920903955	36.241610738255	16	0.533372031748295	2	8	2	NaN	2	3	0.583423467416068	0	1	NaN	38	1	38	2	120	220	320	NaN	520	0.556831437628716	2	1	NaN	2162866.5596493	NaN	2162867.543061	2162868.05962266
50	22	0	0	90	36.1581920903955	36.241610738255	18	0.600043535716832	2	2	2	NaN	1	5	0.583423467416068	0	1	NaN	39	1	39	2	120	220	320	NaN	520	0.0251721227541566	1	1	NaN	2162869.4266099	NaN	2162870.4100129	2162870.92657318
50	22	0	0	90	36.1581920903955	36.241610738255	6	0.200014511905611	2	4	1	NaN	1	4	0.583423467416068	0	1	NaN	40	1	40	2	120	220	320	NaN	520	0.0104341227561235	1	1	NaN	2162871.7601561	NaN	2162872.7435854	2162873.26012828
50	22	0	0	90	36.1581920903955	36.241610738255	20	0.666715039685368	2	12	6	NaN	2	5	0.583423467416068	0	1	NaN	41	1	41	2	120	220	320	NaN	520	0.111291117966175	1	0	NaN	2162874.0769595	NaN	2162875.0605116	2162875.57702208
50	22	0	0	90	36.1581920903955	36.241610738255	0	0	1	1	3	NaN	1	3	0.583423467416068	0	1	NaN	42	1	42	2	110	210	310	NaN	510	0.0104564703069627	1	1	NaN	2162876.4939945	NaN	2162877.477373	2162877.99392443
50	22	0	0	90	36.1581920903955	36.241610738255	9	0.300021767858416	2	8	4	NaN	2	5	0.583423467416068	0	1	NaN	43	1	43	2	120	220	320	NaN	520	0.297639822587371	1	0	NaN	2162878.8109088	NaN	2162879.7942602	2162880.31082758
50	22	0	0	90	36.1581920903955	36.241610738255	25	0.833393799606711	2	9	1	NaN	2	4	0.583423467416068	0	1	NaN	44	1	44	2	120	220	320	NaN	520	0.0565165225416422	2	1	NaN	2162881.427798	NaN	2162882.4111874	2162882.92775178
50	22	0	0	90	36.1581920903955	36.241610738255	9	0.300021767858416	2	9	6	NaN	2	3	0.583423467416068	0	1	NaN	45	1	45	2	120	220	320	NaN	520	0.585482670459896	2	1	NaN	2162883.79467	NaN	2162884.7781085	2162885.29464583
50	22	0	0	90	36.1581920903955	36.241610738255	8	0.266686015874147	2	11	2	NaN	2	4	0.583423467416068	0	1	NaN	46	1	46	2	120	220	320	NaN	520	0.525154022499919	2	1	NaN	2162886.6949876	NaN	2162887.6783796	2162888.19493988
50	22	0	0	90	36.1581920903955	36.241610738255	16	0.533372031748295	2	2	3	NaN	1	5	0.583423467416068	0	1	NaN	47	1	47	2	120	220	320	NaN	520	0.387614322360605	2	0	NaN	2162889.5284702	NaN	2162890.5120031	2162891.02854788
50	22	0	0	90	36.1581920903955	36.241610738255	23	0.766722295638174	2	7	6	NaN	2	3	0.583423467416068	0	1	NaN	48	1	48	2	120	220	320	NaN	520	0.303503522649407	2	1	NaN	2162892.2288846	NaN	2162893.2122495	2162893.72881488
50	22	0	0	90	36.1581920903955	36.241610738255	25	0.833393799606711	2	5	3	NaN	1	5	0.583423467416068	0	1	NaN	49	1	49	2	120	220	320	NaN	520	0.270434722304344	1	1	NaN	2162894.8457703	NaN	2162895.8291946	2162896.34573768
50	22	0	0	90	36.1581920903955	36.241610738255	22	0.733386543653905	2	9	1	NaN	2	4	0.583423467416068	0	1	NaN	50	1	50	2	120	220	320	NaN	520	0.60715512232855	2	1	NaN	2162897.4293607	NaN	2162898.4127674	2162898.92931668
50	22	0	0	90	36.1581920903955	36.241610738255	17	0.566707783732563	2	5	3	NaN	1	4	0.583423467416068	0	1	NaN	51	1	51	2	120	220	320	NaN	520	0.286658227909356	1	1	NaN	2162900.6296783	NaN	2162901.6130895	2162902.12963317
50	22	0	0	90	36.1581920903955	36.241610738255	21	0.700050791669637	2	10	5	NaN	2	3	0.583423467416068	0	1	NaN	52	1	52	2	120	220	320	NaN	520	0.334413922391832	1	0	NaN	2162903.22993	NaN	2162904.2133466	2162904.72989168
50	22	0	0	90	36.1581920903955	36.241610738255	22	0.733386543653905	2	12	2	NaN	2	3	0.583423467416068	0	1	NaN	53	1	53	2	120	220	320	NaN	520	0.580830375198275	2	1	NaN	2162905.8635287	NaN	2162906.8469521	2162907.36348032
50	22	0	0	90	36.1581920903955	36.241610738255	8	0.266686015874147	2	2	6	NaN	1	4	0.583423467416068	0	1	NaN	54	1	54	2	120	220	320	NaN	520	0.216495922300965	2	0	NaN	2162908.7637074	NaN	2162909.747212	2162910.26376788
50	22	0	0	90	36.1581920903955	36.241610738255	13	0.43336477579549	2	1	5	NaN	1	5	0.583423467416068	0	1	NaN	55	1	55	2	120	220	320	NaN	520	0.12274606525898	2	0	NaN	2162911.2973798	NaN	2162912.280806	2162912.79734513
50	22	0	0	90	36.1581920903955	36.241610738255	21	0.700050791669637	2	1	6	NaN	1	5	0.583423467416068	0	1	NaN	56	1	56	2	120	220	320	NaN	520	0.0103916227817535	2	0	NaN	2162913.7309239	NaN	2162914.7143665	2162915.23092558
50	22	0	0	90	36.1581920903955	36.241610738255	19	0.6333792877011	2	12	1	NaN	2	3	0.583423467416068	0	1	NaN	57	1	57	2	120	220	320	NaN	520	0.172359547577798	2	1	NaN	2162916.0478554	NaN	2162917.0312732	2162917.54783975
50	22	0	0	90	36.1581920903955	36.241610738255	13	0.43336477579549	2	3	2	NaN	1	5	0.583423467416068	0	1	NaN	58	1	58	2	120	220	320	NaN	520	1.86298907035962	2	0	NaN	2162918.7814199	NaN	2162919.7648763	2162920.28141753
