subjno	age	gender	isPractice	viewdist	CmToPixX	CmToPixY	SOA_frm	SOA_time	targNum	targID	targExample	targRace	targGender	firstTargPos	contrast	familiarity	curr_staircase	iStair	TrialNum	BlockNum	blktrl	sessionNum	TC_FIXATION	TC_RSVP_START	TC_RSVP_END	TC_BLANK	TC_RESPONSE_ONSET	RT2afc	resp_2afc	acc	RSVPOnsetVBL	RSVPOnsetTime	RSVPOffsetVBL	RSVPOffsetTime	startrt_2afc
107	19	0	0	90	36.1581920903955	36.241610738255	24	0.800058144629002	2	12	4	NaN	2	3	0.0758954804430093	1	1	NaN	1	1	1	2	121	221	321	NaN	521	0.479256175458431	2	1	NaN	4478234.8990259	NaN	4478235.8823006	4478236.41542832
107	19	0	0	90	36.1581920903955	36.241610738255	7	0.233350292183459	2	3	1	NaN	1	3	0.0758954804430093	1	1	NaN	2	1	2	2	121	221	321	NaN	521	0.260826275683939	1	1	NaN	4478237.7493288	NaN	4478238.7325706	4478239.26571032
107	19	0	0	90	36.1581920903955	36.241610738255	8	0.266686048209667	2	2	1	NaN	1	3	0.0758954804430093	1	1	NaN	3	1	3	2	121	221	321	NaN	521	0.268841517157853	1	1	NaN	4478240.3493284	NaN	4478241.3327417	4478241.86596788
107	19	0	0	90	36.1581920903955	36.241610738255	24	0.800058144629002	2	10	3	NaN	2	3	0.0758954804430093	1	1	NaN	4	1	4	2	121	221	321	NaN	521	0.588901060633361	2	1	NaN	4478242.9496063	NaN	4478243.9329786	4478244.44954614
107	19	0	0	90	36.1581920903955	36.241610738255	7	0.233350292183459	2	9	5	NaN	2	3	0.0758954804430093	1	1	NaN	5	1	5	2	121	221	321	NaN	521	0.297045717015862	2	1	NaN	4478245.8497846	NaN	4478246.8332741	4478247.34982838
107	19	0	0	90	36.1581920903955	36.241610738255	8	0.266686048209667	2	2	5	NaN	1	4	0.0758954804430093	1	1	NaN	6	1	6	2	121	221	321	NaN	521	0.272024421952665	1	1	NaN	4478248.4668205	NaN	4478249.4502068	4478249.96675818
107	19	0	0	90	36.1581920903955	36.241610738255	8	0.266686048209667	2	4	5	NaN	1	4	0.0758954804430093	1	1	NaN	7	1	7	2	121	221	321	NaN	521	0.248205870389938	1	1	NaN	4478251.0503969	NaN	4478252.0338193	4478252.55033883
107	19	0	0	90	36.1581920903955	36.241610738255	10	0.333357560262084	2	10	4	NaN	2	5	0.0758954804430093	1	1	NaN	8	1	8	2	121	221	321	NaN	521	0.217418369837105	2	1	NaN	4478253.6173522	NaN	4478254.6007078	4478255.11725753
107	19	0	0	90	36.1581920903955	36.241610738255	21	0.700050876550376	2	10	6	NaN	2	3	0.0758954804430093	1	1	NaN	9	1	9	2	121	221	321	NaN	521	0.251611817628145	2	1	NaN	4478256.150899	NaN	4478257.134297	4478257.65084318
107	19	0	0	90	36.1581920903955	36.241610738255	10	0.333357560262084	2	4	1	NaN	1	5	0.0758954804430093	1	1	NaN	10	1	10	2	121	221	321	NaN	521	0.308731722645462	1	1	NaN	4478258.7178201	NaN	4478259.7012129	4478260.21777118
107	19	0	0	90	36.1581920903955	36.241610738255	8	0.266686048209667	2	8	2	NaN	2	4	0.0758954804430093	1	1	NaN	11	1	11	2	121	221	321	NaN	521	0.307176670059562	2	1	NaN	4478261.351396	NaN	4478262.3348044	4478262.85135863
107	19	0	0	90	36.1581920903955	36.241610738255	13	0.433364828340709	2	1	4	NaN	1	3	0.0758954804430093	1	1	NaN	12	1	12	2	121	221	321	NaN	521	0.257798017002642	1	1	NaN	4478263.985077	NaN	4478264.9683949	4478265.48494118
107	19	0	0	90	36.1581920903955	36.241610738255	19	0.63337936449796	2	8	6	NaN	2	5	0.0758954804430093	1	1	NaN	13	1	13	2	121	221	321	NaN	521	0.282032770104706	2	1	NaN	4478266.5685787	NaN	4478267.5519876	4478268.06853423
107	19	0	0	90	36.1581920903955	36.241610738255	21	0.700050876550376	2	12	3	NaN	2	4	0.0758954804430093	1	1	NaN	14	1	14	2	121	221	321	NaN	521	0.193462470546365	2	1	NaN	4478269.1688429	NaN	4478270.1522423	4478270.66878603
107	19	0	0	90	36.1581920903955	36.241610738255	12	0.400029072314501	2	4	3	NaN	1	4	0.0758954804430093	1	1	NaN	15	1	15	2	121	221	321	NaN	521	0.356852070428431	1	1	NaN	4478271.685754	NaN	4478272.6691441	4478273.18570553
107	19	0	0	90	36.1581920903955	36.241610738255	14	0.466700584366918	2	1	3	NaN	1	5	0.0758954804430093	1	1	NaN	16	1	16	2	121	221	321	NaN	521	0.3131422707811	1	1	NaN	4478274.3693645	NaN	4478275.3527441	4478275.86930513
107	19	0	0	90	36.1581920903955	36.241610738255	20	0.666715120524168	2	10	1	NaN	2	3	0.0758954804430093	1	1	NaN	17	1	17	2	121	221	321	NaN	521	0.287933522835374	2	1	NaN	4478277.0029782	NaN	4478277.9863481	4478278.50289738
107	19	0	0	90	36.1581920903955	36.241610738255	23	0.766722388602793	2	1	2	NaN	1	4	0.0758954804430093	1	1	NaN	18	1	18	2	121	221	321	NaN	521	0.303363022394478	1	1	NaN	4478279.6032113	NaN	4478280.5865929	4478281.10315498
107	19	0	0	90	36.1581920903955	36.241610738255	23	0.766722388602793	2	6	2	NaN	1	5	0.0758954804430093	1	1	NaN	19	1	19	2	121	221	321	NaN	521	0.558745870366693	1	1	NaN	4478282.2200178	NaN	4478283.2035241	4478283.72007423
