subjno	age	gender	isPractice	viewdist	CmToPixX	CmToPixY	SOA_frm	SOA_time	targNum	targID	targExample	targRace	targGender	firstTargPos	contrast	familiarity	curr_staircase	iStair	TrialNum	BlockNum	blktrl	sessionNum	TC_FIXATION	TC_RSVP_START	TC_RSVP_END	TC_BLANK	TC_RESPONSE_ONSET	RT2afc	resp_2afc	acc	RSVPOnsetVBL	RSVPOnsetTime	RSVPOffsetVBL	RSVPOffsetTime	startrt_2afc
21	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	10	1	NaN	2	4	0.1	0	1	1	1	1	1	1	110	210	310	NaN	510	1.37302167434245	2	1	NaN	4385367.3906858	NaN	4385368.3742587	4385368.90739733
21	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	10	1	NaN	2	4	0.0158489319246111	0	1	2	2	1	2	1	110	210	310	NaN	510	0.897996074520051	1	0	NaN	4385371.2578401	NaN	4385372.2412798	4385372.77445183
21	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	11	1	NaN	2	3	0.251188643150958	0	1	3	3	1	3	1	110	210	310	NaN	510	0.765007290057838	2	1	NaN	4385374.5915106	NaN	4385375.5749283	4385376.09144691
21	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	8	1	NaN	2	4	0.0251188643150958	0	1	4	4	1	4	1	110	210	310	NaN	510	1.37313660979271	2	1	NaN	4385377.7918403	NaN	4385378.7752694	4385379.29175449
21	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	5	1	NaN	1	5	0.158489319246111	0	1	5	5	1	5	1	110	210	310	NaN	510	1.13227391056716	2	0	NaN	4385381.5922693	NaN	4385382.5757038	4385383.09211949
21	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	10	1	NaN	2	4	0.398107170553497	0	1	6	6	1	6	1	110	210	310	NaN	510	1.08445087820292	1	0	NaN	4385385.1760081	NaN	4385386.1594048	4385386.67581482
21	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	5	1	NaN	1	5	0.0630957344480193	0	1	7	7	1	7	1	110	210	310	NaN	510	0.768782589584589	2	0	NaN	4385389.0597317	NaN	4385390.0430176	4385390.55952681
21	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	8	1	NaN	2	5	0.0398107170553497	0	1	8	8	1	8	1	110	210	310	NaN	510	0.537441315129399	1	0	NaN	4385392.2432447	NaN	4385393.2266398	4385393.74317508
21	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	12	1	NaN	2	4	0.0158489319246111	0	1	9	9	1	9	1	110	210	310	NaN	510	0.506462320685387	2	1	NaN	4385395.2101988	NaN	4385396.1935993	4385396.71013678
21	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	3	1	NaN	1	4	0.0630957344480193	0	1	10	10	1	10	1	110	210	310	NaN	510	1.45302346721292	1	1	NaN	4385398.1438168	NaN	4385399.1272278	4385399.64375723
21	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	4	1	NaN	1	3	0.0398107170553497	0	1	11	11	1	11	1	110	210	310	NaN	510	1.47279322519898	1	1	NaN	4385402.0275179	NaN	4385403.0109662	4385403.52746747
21	99	99	1	90	36.1581920903955	36.241610738255	0	0	1	9	1	NaN	2	5	0.1	0	1	12	12	1	12	1	110	210	310	NaN	510	1.23661541566253	2	1	NaN	4385405.9279177	NaN	4385406.9113028	4385407.42784848
